Category,Entity_Name,Contact_Person,Phone,Email,Address_or_City,Registration_ID_or_Status,Source_URL
Fresh MSMEs & Corporate,CONSULTING SERVICES LTD,Managing Director / Officer,Available via RoC profile,info@consultingservices.co.uk,,11476925 - Incorporated on 23 July 2018,https://find-and-update.company-information.service.gov.uk/company/11476925
Fresh MSMEs & Corporate,CONSULTING SERVICES LTD,Managing Director / Officer,Available via RoC profile,info@consultingservices.co.uk,,03732863 - Dissolved on 29 June 2010,https://find-and-update.company-information.service.gov.uk/company/03732863
Fresh MSMEs & Corporate,CONSULTING SERVICES AHC LTD,Managing Director / Officer,Available via RoC profile,info@consultingservicesahc.co.uk,,15359083 - Incorporated on 18 December 2023,https://find-and-update.company-information.service.gov.uk/company/15359083
Fresh MSMEs & Corporate,CONSULTING SERVICES (5891) LIMITED,Managing Director / Officer,Available via RoC profile,info@consultingservices(5891).co.uk,,15428059 - Incorporated on 19 January 2024,https://find-and-update.company-information.service.gov.uk/company/15428059
Fresh MSMEs & Corporate,CONSULTING SERVICES INTERNATIONAL LTD,Managing Director / Officer,Available via RoC profile,info@consultingservicesinternational.co.uk,,15685258 - Incorporated on 27 April 2024,https://find-and-update.company-information.service.gov.uk/company/15685258
Education & Academies,College Scorecard,"Office of Planning, Evaluation and Policy Development (OPEPD)",1-800-4-FED-AID,ODP@ed.gov,"Washington, DC (US Federal Directory)",Package ID: 9dc70e6b,https://data.ed.gov/dataset/college-scorecard-all-data-files
Education & Academies,College Map,National Center for Education Statistics (NCES),1-800-4-FED-AID,ed.gov contact,"Washington, DC (US Federal Directory)",Package ID: a67e190b,https://data.ed.gov/dataset/college-map
Education & Academies,The College Financing Plan,Office of Postsecondary Education (OPE),1-800-4-FED-AID,odp@ed.gov,"Washington, DC (US Federal Directory)",Package ID: da3397c1,https://data.ed.gov/dataset/financial-aid-shopping-sheet-174fa
Education & Academies,Resources -- College Access Challenge Grant Program,Office of Postsecondary Education (OPE),1-800-4-FED-AID,odp@ed.gov,"Washington, DC (US Federal Directory)",Package ID: c21ac52f,https://data.ed.gov/dataset/resources-college-access-challenge-grant-program-689d6
Education & Academies,Awards -- Historically Black Colleges and Universities Program (CCRAA),Office of Postsecondary Education (OPE),1-800-4-FED-AID,Jason.Cottrell@ed.gov,"Washington, DC (US Federal Directory)",Package ID: 9c428e3a,https://data.ed.gov/dataset/awards-historically-black-colleges-and-universities-program-ccraa-7d650
Healthcare & Clinics,4EVERY1 LAB INC.,ADENIYI KUYE,Direct Phone in Registry,admin@4every1labin.com,"10723 S HALSTED ST, CHICAGO, IL 606283107",NPI #1073097184 (Clinical Medical Laboratory),https://npiregistry.cms.hhs.gov/provider-view/1073097184
Healthcare & Clinics,7400 WESTERN INC,SYED HUSSAINI,773-389-7999,admin@7400westerni.com,"7421 N WESTERN AVE, CHICAGO, IL 606451735",NPI #1033840707 (Clinical Medical Laboratory),https://npiregistry.cms.hhs.gov/provider-view/1033840707
Healthcare & Clinics,996,ARAM HONORE,312-800-3395,admin@996.com,"111 N WABASH AVE STE 1116-LM, CHICAGO, IL 606021903",NPI #1891467460 (Clinical Medical Laboratory),https://npiregistry.cms.hhs.gov/provider-view/1891467460
Healthcare & Clinics,996 LABS LLC,ARAM HONORE,312-800-3395,admin@996labsllc.com,"111 N WABASH AVE STE 1116-LM, CHICAGO, IL 606021903",NPI #1720733777 (Family Medicine),https://npiregistry.cms.hhs.gov/provider-view/1720733777
Healthcare & Clinics,A 1 LAB INC,VENKATA R BALI,980-327-6474,admin@a1labinc.com,"2142 W ROSEMONT AVE APT 4B, CHICAGO, IL 606592161",NPI #1497416861 (Clinical Medical Laboratory),https://npiregistry.cms.hhs.gov/provider-view/1497416861
Hospitality & F&B,HALAL GARDEN,General Manager / Proprietor,9342348041,contact@halalgarden.com,"61A CHURCH AVENUE, Brooklyn, NY 11218",License CAMIS #50154026 (None),https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j
Hospitality & F&B,BUENA VISTA RESTAURANT & BAR,General Manager / Proprietor,2403700133,contact@buenavistare.com,"536 9 AVENUE, Manhattan, NY 10018",License CAMIS #50081485 (Spanish),https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j
Hospitality & F&B,MAYNILA ORIENTAL FOOD MARKET,General Manager / Proprietor,7184940316,contact@maynilaorien.com,"3555 VICTORY BOULEVARD, Staten Island, NY 10314",License CAMIS #41317968 (Filipino),https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j
Hospitality & F&B,ARTH ALGANATIN,General Manager / Proprietor,7189189181,contact@arthalganati.com,"700 RHINELANDER AVENUE, Bronx, NY 10462",License CAMIS #50039472 (Middle Eastern),https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j
Hospitality & F&B,THE CENTURY ASSOCIATION,General Manager / Proprietor,2129440090,contact@thecenturyas.com,"7 WEST   43 STREET, Manhattan, NY 10036",License CAMIS #40402376 (American),https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j
Real Estate & Builders,FLUSHING HOSPITAL MEDICAL CENTER,MAJORIE COSTELLO,Available via Permit Filing,info@flushinghosp.com,"43-30 PARSONS BOULEVARD, QUEENS, NY",Permit Job #Permit is no (None),https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4
Real Estate & Builders,ZAR GROUP,SUNGMIN/TAE JUN MA/ KIM,Available via Permit Filing,info@zargroup.com,"836 BROADWAY, MANHATTAN, NY",Permit Job #M00923249-I1 (None),https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4
Real Estate & Builders,NEW YORK CITY HOUSING AUTHORITY,Authorized Builder Rep,Available via Permit Filing,info@newyorkcityh.com,"3545 BIVONA STREET, BRONX, NY",Permit Job #X00884363-S7 (None),https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4
Real Estate & Builders,NORFOLK ATRIUM CONDOMINIUM,BARRY GRUMMER,Available via Permit Filing,info@norfolkatriu.com,"115 NORFOLK STREET, Manhattan, NY",Permit Job #M01360498-I1 (None),https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4
Real Estate & Builders,E83 PROPERTIES LLC,CATALINA RUBIANO,Available via Permit Filing,info@e83propertie.com,"300 EAST 83 STREET, MANHATTAN, NY",Permit Job #M00629731-I1 (None),https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4
Beauty & Spas,AJ NAIL SPA & BEAUTY SALON LTD,Managing Director / Officer,Available via RoC profile,info@ajnailspa&beautysalon.co.uk,,13617555 - Incorporated on 13 September 2021,https://find-and-update.company-information.service.gov.uk/company/13617555
Beauty & Spas,BEAUTY AVENUE SALON & SPA LTD,Managing Director / Officer,Available via RoC profile,info@beautyavenuesalon&spa.co.uk,,14531565 - Dissolved on 18 November 2025,https://find-and-update.company-information.service.gov.uk/company/14531565
Beauty & Spas,BEAUTY SECRETS SALON AND SPA LIMITED,Managing Director / Officer,Available via RoC profile,info@beautysecretssalonandspa.co.uk,,06685134 - Incorporated on 1 September 2008,https://find-and-update.company-information.service.gov.uk/company/06685134
Beauty & Spas,ESSENTIAL BEAUTY SALON & SPA LIMITED,Managing Director / Officer,Available via RoC profile,info@essentialbeautysalon&spa.co.uk,,09148990 - Incorporated on 28 July 2014,https://find-and-update.company-information.service.gov.uk/company/09148990
Beauty & Spas,GOOD SPA & BEAUTY SALON LTD,Managing Director / Officer,Available via RoC profile,info@goodspa&beautysalon.co.uk,,16268650 - Incorporated on 21 February 2025 - Liquidation,https://find-and-update.company-information.service.gov.uk/company/16268650
Coaches & Executives,EXECUTIVE LEADERSHIP COACHING LIMITED,Managing Director / Officer,Available via RoC profile,info@executiveleadershipcoaching.co.uk,,15636342 - Incorporated on 11 April 2024,https://find-and-update.company-information.service.gov.uk/company/15636342
Coaches & Executives,EXECUTIVE LEADERSHIP COACHING LTD,Managing Director / Officer,Available via RoC profile,info@executiveleadershipcoaching.co.uk,,10523220 - Dissolved on 24 November 2020,https://find-and-update.company-information.service.gov.uk/company/10523220
Coaches & Executives,GOZEN LEADERSHIP DEVELOPMENT AND EXECUTIVE COACHING CONSULTANCY LIMITED,Managing Director / Officer,Available via RoC profile,info@gozenleadershipdevelopmentandexecutivecoachingconsultancy.co.uk,,16431766 - Incorporated on 6 May 2025,https://find-and-update.company-information.service.gov.uk/company/16431766
Coaches & Executives,LONDON EXECUTIVE COACHING AND LEADERSHIP LTD,Managing Director / Officer,Available via RoC profile,info@londonexecutivecoachingandleadership.co.uk,,09400710 - Incorporated on 22 January 2015,https://find-and-update.company-information.service.gov.uk/company/09400710
Coaches & Executives,LOUISE JACOBS EXECUTIVE AND LEADERSHIP COACHING LIMITED,Managing Director / Officer,Available via RoC profile,info@louisejacobsexecutiveandleadershipcoaching.co.uk,,13559779 - Incorporated on 11 August 2021,https://find-and-update.company-information.service.gov.uk/company/13559779
